Industry,Secondary_Industry,SIC_INDUSTRY_CLASS_NM,SIC_INDUSTRY_CLASS_CD,Client
Manufacturing,Light Manufacturing,Fluid meters and counting devices,3824,120
Manufacturing,Light Manufacturing,"Footwear, except rubber, nec",3149,737
Manufacturing,Light Manufacturing,"Games, toys, and children's vehicles",3944,81
Manufacturing,Light Manufacturing,"Girls' and children's outerwear, nec",2369,6
Manufacturing,Light Manufacturing,"Housefurnishings, nec",2392,85
Manufacturing,Light Manufacturing,Instruments to measure electricity,3825,205
Manufacturing,Light Manufacturing,"Jewelry, precious metal",3911,200
Manufacturing,Light Manufacturing,Knit outerwear mills,2253,50
Manufacturing,Light Manufacturing,Laboratory apparatus and furniture,3821,15
Manufacturing,Light Manufacturing,Lead pencils and art goods,3952,111
Manufacturing,Light Manufacturing,Luggage,3161,26
Manufacturing,Light Manufacturing,"Measuring & controlling devices, nec",3829,1062
Manufacturing,Light Manufacturing,"Men's and boys' clothing, nec",2329,3
Manufacturing,Light Manufacturing,Men's and boys' neckwear,2323,1
Manufacturing,Light Manufacturing,Men's and boys' suits and coats,2311,35
Manufacturing,Light Manufacturing,Men's and boys' work clothing,2326,1926
Manufacturing,Light Manufacturing,"Men's footwear, except athletic",3143,365
Manufacturing,Light Manufacturing,Musical instruments,3931,10
Manufacturing,Light Manufacturing,Nonwoven fabrics,2297,283
Manufacturing,Light Manufacturing,Optical instruments and lenses,3827,92
Manufacturing,Light Manufacturing,Pens and mechanical pencils,3951,269
Manufacturing,Light Manufacturing,Photographic equipment and supplies,3861,515
Manufacturing,Light Manufacturing,Process control instruments,3823,162
Manufacturing,Light Manufacturing,"Textile goods, nec",2299,71
Manufacturing,Light Manufacturing,Tire cord and fabrics,2296,187
Manufacturing,Light Manufacturing,"Women's and misses' outerwear, nec",2339,10
Manufacturing,Light Manufacturing,Women's and misses' suits and coats,2337,16
Manufacturing,Light Manufacturing,"Women's hosiery, except socks",2251,9
